Agency,Brand,Category,Video_Concept,URL,Indian_Equivalent,Marketing_Decision_Maker,LinkedIn_URL
Street Poller Media,Seed Oil Scout,Wellness / Tech,"""Do you know what's in your food?"" cultural debate → 3.8x ROAS",https://streetpoller.com/case-studies/health-wellness/seed-oil-scout,Wellbeing Nutrition,Varun Kandhari - Chief Marketing & Growth Officer (joined Jul 2025),https://linkedin.com/in/varun-kandhari-7261b517
Street Poller Media,The Loaded Tea Shop,Beverage / DTC,Blind taste test of colorful teas → visceral reactions → 3x ROAS,https://streetpoller.com/case-studies/cpg-ecom/the-loaded-tea-shop,Chai Point,Sukanya Behera - Head of Marketing,https://linkedin.com/in/sukanya-behera-9b390050
Street Poller Media,Art of the Tweet,Creator Economy / SaaS,"""Who do you actually follow?"" Times Square poll → $1M+ revenue",https://streetpoller.com/case-studies/cpg-ecom/art-of-the-tweet,OneContent,N/A - content agency,
Street Poller Media,Rav & Co,DTC / CPG,Blind taste test → 4.8x ROAS,https://streetpoller.com/case-studies/cpg-ecom/rav-and-co,Any CPG D2C,N/A - generic,
Street Poller Media,Parlor City,Food & Beverage / CPG,Hot sauce challenge → spicy reactions → 4.5x ROAS,https://streetpoller.com/case-studies/cpg-ecom/parlor-city-pepper-company,Wingreens,Pawan Sarda was Group CMO (left ~Mar 2023). Current marketing head not publicly known.,
Street Poller Media,Puking Ball,CPG / Novelty,Viral novelty + founder-led street engagement → $1.2M revenue,https://streetpoller.com/case-studies/cpg-ecom/puking-ball,N/A,N/A,N/A
Street Poller Media,Health Y Sol,Soap / CPG,Real-world supplement trials → 30% lower CPA,https://streetpoller.com/case-studies/cpg-ecom/health-y-sol,Soulflower,"No dedicated CMO (founder-driven; CEO Natasha Tuli, Co-Founder Amit Sarda drive brand)",
Street Poller Media,ALP Pouch,Nicotine Pouch,Bar/nightlife intercept → product demo → 50M+ views,https://streetpoller.com/case-studies/cpg-ecom/alp-pouch,N/A,N/A,N/A
Street Poller Media,Breath Death,Oral Care / CPG,"""Bad breath or bad date?"" funny hygiene poll → 22M+ views",https://streetpoller.com/case-studies/cpg-ecom/breath-death,Perfora,No dedicated CMO; pitch co-founders Jatan Bawa / Tushar Khurana,
Street Poller Media,Aroma Dana,Fragrance / DTC,Strangers smell perfume → real reactions → 3.5x ROAS,https://streetpoller.com/case-studies/cpg-ecom/aroma-dana,Skinn by Titan,"Urvashi Jain - Marketing Head, Skinn Perfumes (Titan Company)",https://linkedin.com/in/urvashi-jain-246b2126
Street Poller Media,Kopiko Focus,Energy / Food & Beverage,Caffeine routine poll → 3.8x ROAS,https://streetpoller.com/case-studies/cpg-ecom/kopiko-focus,Rage Coffee,No CMO; pitch CEO/founder Bharat Sethi. Prashant Kumar - Chief Business Officer,https://linkedin.com/in/prashant-kumar-mm1
Street Poller Media,Ice Beanie,Health / CPG,Headache/migraine relief test on street → 45% lower CAC,https://streetpoller.com/case-studies/cpg-ecom/ice-beanie,Kapiva,Romil L. - Sr VP Marketing,https://linkedin.com/in/romil-l-36774051
Street Poller Media,Handetizer,Hygiene / CPG,"""When did you last wash hands?"" hygiene poll → 3x ROAS",https://streetpoller.com/case-studies/cpg-ecom/handetizer,Savlon,Part of ITC Personal Care; pitch Sameer Satpathy (CEO - Personal Care Products),
Street Poller Media,Polymarket,Prediction Markets / Tech,"Political/cultural pulse poll → 150M+ views, 1M+ app installs",N/A,CoinSwitch,Lohith Ramachandra - Head of Brand Marketing,https://linkedin.com/in/lohith-ramachandra
Street Poller Media,MoonPay,Crypto / Fintech,"""Have you used Bitcoin?"" street poll → simplify crypto",N/A,CoinDCX,Prashant Verma - Chief Growth & Marketing Officer - India & MENA,https://linkedin.com/in/5prashantv
Street Poller Media,Coverd,Gambling / Fintech,Awkward purchase confessions → refund app reveal → $3.51 CPI,N/A,Dream11,Nikhil Lodha - Head of Marketing & Growth / CGO (elevated Jul 2025). Vikrant Mudaliar stepped down as CMO Jun 2026.,https://linkedin.com/in/nikhil-lodha-4898559a
Street Poller Media,Wyzly,Parenting Tech / App,"""Fights with kids over phones?"" parenting pain poll",N/A,Parentlane,Acquired by ACKO (2023). No separate marketing head.,
Street Poller Media,BeReal,Social App / Tech,Phone habits poll in Washington Square Park,N/A,ShareChat,Rishika Sharma - Head of Marketing (ShareChat & Moj),https://linkedin.com/in/rishikasharma12
streetinterview.io,Growthub,UGC Agency,Quick shoot inside Brooklyn deli → top-performing paid ad,N/A,Any agency,N/A - generic,
streetinterview.io,TheRippleCo,Probiotics / Health,3 long-form organic videos → 3M+ views each → $4K sales,N/A,The Good Bug,No CMO (co-founder-led). Gargi R. - Lead Marketing,https://linkedin.com/in/gargi-raina
streetinterview.io,Fastic,Fasting App,Street interviews + greenscreen UGC mix,N/A,HealthifyMe,Mehul Doshi - VP of Growth (since Sep 2025). Reports to Anjan Bhojarajan - CPGO.,https://linkedin.com/in/mehul-d-69871b13
streetinterview.io,Guardio,Cybersecurity,Software awareness street poll → 9K to 26K followers,N/A,Quick Heal,Sudhanshu Tripathi - CMO & Head ESG,https://linkedin.com/in/tripathisudhanshu
streetinterview.io,Geologie,Skincare / DTC,IRL street content → product demo,N/A,Minimalist,No dedicated CMO; pitch co-founders Mohit Yadav (CEO) / Rahul Yadav,
streetinterview.io,Hiatus,Health / Wellness,Trust-building street content,N/A,Kapiva,Romil L. - Sr VP Marketing,https://linkedin.com/in/romil-l-36774051
streetinterviews.co.uk,Netflix,Entertainment / Streaming,Quiz content with Joe Locke (Heartstopper) → 5M views,https://www.streetinterviews.co.uk/our-work,Netflix India,Part of Netflix global; pitch local marketing team (Monica Shergill - VP Content),
streetinterviews.co.uk,Atlantic Records,Music / Entertainment,Rapid-fire X vs Y with Charli XCX → 8.2M views,https://www.streetinterviews.co.uk/our-work,T-Series,Neeraj Kalyan - President & Executive Director (oversees marketing). Bhushan Kumar (CMD) is decision-maker. No single marketing head.,https://linkedin.com/in/neeraj-kalyan-a3aa0510
streetinterviews.co.uk,Warner Music Group,Music / Entertainment,8-part X vs Y series with Griff & Jordan Adetunji → 6.57M views,https://www.streetinterviews.co.uk/our-work,Sony Music India,Diya Sahgal - General Manager Marketing,
streetinterviews.co.uk,Hygge,Sunglasses / Accessories,40 white-label videos on brand's own TikTok → 31.8M views,https://www.streetinterviews.co.uk/our-work,Lenskart,Neha Gupta - Head of Marketing India / Sachin Gupta - VP Marketing (joined Apr 2025),https://linkedin.com/in/nehagupta2511
streetinterviews.co.uk,Deel,HR / Payroll SaaS,14-video series on jobs & cost-of-living comparisons → 6.35M views,https://www.streetinterviews.co.uk/our-work,Razorpay,Apurv Sethi - CMO & SME Business Head,https://linkedin.com/in/apuarv
streetinterviews.co.uk,Revolut,Fintech,Guess the flag format → 16.63M views,https://www.streetinterviews.co.uk/our-work,CRED,No CMO (CEO Kunal Shah oversees brand). Sreehari Krishnan - Lead Brand & Marketing,
streetinterviews.co.uk,Great Run,Sports Events,Marathon interviews with Sir Mo Farah → 200M+ views,https://www.streetinterviews.co.uk/our-work,Sportskeeda,Roshan Jha - Head of Marketing,https://linkedin.com/in/roshan-kumar-jha-digital-marketing
